model,combo,sharpe,cost_adjusted_sharpe,sortino,max_drawdown,cvar,turnover
MV,AAVEBTC_ADABTC_AVAXBTC_STXBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_TRXBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_TRXBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_TRXBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_UNIBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_UNIBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_XLMBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_DOGEBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_DOTBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_ETCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_ETHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_BNBBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_DOTBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_ETCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_ETHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOGEBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_ETCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_ETHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_DOTBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_ETHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETCBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ETHBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_LTCBTC,,,inf,0.0,0.0,0.0
